unified_scenario,scenario_name,demand_profile,recommended_config,primary_reason,primary_kpi_name,primary_kpi_value,secondary_kpi_name,secondary_kpi_value,throughput_mbps_mean,ptp_delay_ms_steady_mean,cdr75_percent_table2,ptp_data_status,ros_control_delay_status,rule_note,data_source_note
S1,Short LoS,high_throughput_priority,ax/6/160,highest throughput_mbps_mean,throughput_mbps_mean,633.494584138889,cdr75_percent_table2,94,633.494584138889,11.5285795169492,94,ok,supplementary_only_due_to_negative_delay_risk,throughput ranking uses all rows,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S1,Short LoS,low_ptp_delay_priority,ax/6/80,lowest ptp_delay_ms_steady_mean among valid PTP rows,ptp_delay_ms_steady_mean,9.69053748739496,cdr75_percent_table2,91,546.474805844445,9.69053748739496,91,ok,supplementary_only_due_to_negative_delay_risk,none,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S1,Short LoS,control_reliability_priority,ax/6/160,highest cdr75_percent_table2,cdr75_percent_table2,94,ptp_delay_ms_steady_mean,11.5285795169492,633.494584138889,11.5285795169492,94,ok,supplementary_only_due_to_negative_delay_risk,CDR ranking uses Table 2 percent,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S1,Short LoS,balanced_equal_weight,ax/6/160,rank 1 overall_equal_weight_score among valid score rows,overall_equal_weight_score,0.946855492854317,rank_in_scenario,1,633.494584138889,11.5285795169492,94,ok,supplementary_only_due_to_negative_delay_risk,none,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S1,Short LoS,conservative_control_plus_delay,ax/6/80,lowest PTP delay among valid rows with cdr75_percent_table2 >= 90,ptp_delay_ms_steady_mean,9.69053748739496,cdr75_percent_table2,91,546.474805844445,9.69053748739496,91,ok,supplementary_only_due_to_negative_delay_risk,cdr90_candidate,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S2,Medium LoS,high_throughput_priority,ax/6/160,highest throughput_mbps_mean,throughput_mbps_mean,563.586619794444,cdr75_percent_table2,97,563.586619794444,13.1393182773109,97,ok,supplementary_only_due_to_negative_delay_risk,throughput ranking uses all rows,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S2,Medium LoS,low_ptp_delay_priority,ax/6/80,lowest ptp_delay_ms_steady_mean among valid PTP rows,ptp_delay_ms_steady_mean,11.6194157563025,cdr75_percent_table2,90,341.116278444444,11.6194157563025,90,ok,supplementary_only_due_to_negative_delay_risk,none,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S2,Medium LoS,control_reliability_priority,ax/6/160,highest cdr75_percent_table2,cdr75_percent_table2,97,ptp_delay_ms_steady_mean,13.1393182773109,563.586619794444,13.1393182773109,97,ok,supplementary_only_due_to_negative_delay_risk,CDR ranking uses Table 2 percent,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S2,Medium LoS,balanced_equal_weight,ax/6/160,rank 1 overall_equal_weight_score among valid score rows,overall_equal_weight_score,0.961441365299421,rank_in_scenario,1,563.586619794444,13.1393182773109,97,ok,supplementary_only_due_to_negative_delay_risk,none,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S2,Medium LoS,conservative_control_plus_delay,ax/6/80,lowest PTP delay among valid rows with cdr75_percent_table2 >= 90,ptp_delay_ms_steady_mean,11.6194157563025,cdr75_percent_table2,90,341.116278444444,11.6194157563025,90,ok,supplementary_only_due_to_negative_delay_risk,cdr90_candidate,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S3,Long NLoS,high_throughput_priority,ax/6/160,highest throughput_mbps_mean,throughput_mbps_mean,84.6611390111111,cdr75_percent_table2,93,84.6611390111111,14.5688735630252,93,ok,supplementary_only_due_to_negative_delay_risk,throughput ranking uses all rows,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S3,Long NLoS,low_ptp_delay_priority,ax/5/20,lowest ptp_delay_ms_steady_mean among valid PTP rows,ptp_delay_ms_steady_mean,8.71990719327731,cdr75_percent_table2,98,11.8296427722222,8.71990719327731,98,ok,supplementary_only_due_to_negative_delay_risk,excluded_missing_ptp_steady_mean:S3/ac/5/20,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S3,Long NLoS,control_reliability_priority,ax/6/80,highest cdr75_percent_table2,cdr75_percent_table2,99,ptp_delay_ms_steady_mean,14.1365793781513,67.5389525388889,14.1365793781513,99,ok,supplementary_only_due_to_negative_delay_risk,CDR ranking uses Table 2 percent,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S3,Long NLoS,balanced_equal_weight,ax/6/160,rank 1 overall_equal_weight_score among valid score rows,overall_equal_weight_score,0.845974630439611,rank_in_scenario,1,84.6611390111111,14.5688735630252,93,ok,supplementary_only_due_to_negative_delay_risk,excluded_missing_ptp_steady_mean:S3/ac/5/20,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S3,Long NLoS,conservative_control_plus_delay,ax/5/20,lowest PTP delay among valid rows with cdr75_percent_table2 >= 90,ptp_delay_ms_steady_mean,8.71990719327731,cdr75_percent_table2,98,11.8296427722222,8.71990719327731,98,ok,supplementary_only_due_to_negative_delay_risk,cdr90_candidate,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S4,Long mixed,high_throughput_priority,ax/6/80,highest throughput_mbps_mean,throughput_mbps_mean,185.917399811111,cdr75_percent_table2,88,185.917399811111,13.7707813697479,88,ok,supplementary_only_due_to_negative_delay_risk,throughput ranking uses all rows,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S4,Long mixed,low_ptp_delay_priority,ax/5/80,lowest ptp_delay_ms_steady_mean among valid PTP rows,ptp_delay_ms_steady_mean,10.8707820583333,cdr75_percent_table2,94,123.386735372222,10.8707820583333,94,ok,supplementary_only_due_to_negative_delay_risk,none,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S4,Long mixed,control_reliability_priority,ax/6/20,highest cdr75_percent_table2,cdr75_percent_table2,95,ptp_delay_ms_steady_mean,14.6124369495798,36.5532415666667,14.6124369495798,95,ok,supplementary_only_due_to_negative_delay_risk,CDR ranking uses Table 2 percent,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S4,Long mixed,balanced_equal_weight,ax/6/80,rank 1 overall_equal_weight_score among valid score rows,overall_equal_weight_score,0.905241676564679,rank_in_scenario,1,185.917399811111,13.7707813697479,88,ok,supplementary_only_due_to_negative_delay_risk,none,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
S4,Long mixed,conservative_control_plus_delay,ax/5/80,lowest PTP delay among valid rows with cdr75_percent_table2 >= 90,ptp_delay_ms_steady_mean,10.8707820583333,cdr75_percent_table2,94,123.386735372222,10.8707820583333,94,ok,supplementary_only_due_to_negative_delay_risk,cdr90_candidate,throughput_raw_json_ptp_raw_json_steady_mean_cdr_table2_ros_limitation
