unified_scenario,scenario_name,protocol_or_config,throughput_score,ptp_score,cdr_score,overall_equal_weight_score,rank_in_scenario,score_note
S1,Short LoS,ax/6/160,1,0.840566478562951,1,0.946855492854317,1,ok
S1,Short LoS,ax/5/80,0.700634337699616,0.892416069875226,0.946808510638298,0.84661963940438,3,ok
S1,Short LoS,ac/5/80,0.76544546268821,0.814823099235607,0.957446808510638,0.845905123478152,4,ok
S1,Short LoS,ax/6/80,0.862635324005603,1,0.968085106382979,0.943573476796194,2,ok
S1,Short LoS,ax/2.4/20,0.174278559873064,0.593731373796454,0.893617021276596,0.553875651648705,9,ok
S1,Short LoS,ax/5/20,0.227301646120724,0.586114424918196,0.968085106382979,0.5938337258073,8,ok
S1,Short LoS,ac/5/20,0.21439555976132,0.764040218623552,0.98936170212766,0.655932493504177,5,ok
S1,Short LoS,ax/6/20,0.197337364275334,0.666780369395116,0.925531914893617,0.596549882854689,7,ok
S1,Short LoS,n/2.4/20,0.115396839184299,0.856091206839297,0.957446808510638,0.642978284844745,6,ok
S2,Medium LoS,ax/6/160,1,0.884324095898264,1,0.961441365299421,1,ok
S2,Medium LoS,ax/5/80,0.595068463537035,0.906718085177517,0.958762886597938,0.820183145104163,3,ok
S2,Medium LoS,ac/5/80,0.571832744471449,0.752159142900744,0.927835051546392,0.750608979639528,4,ok
S2,Medium LoS,ax/6/80,0.605259717785456,1,0.927835051546392,0.844364923110616,2,ok
S2,Medium LoS,ax/2.4/20,0.0674945285497976,0.91429125262567,0.958762886597938,0.646849555924469,7,ok
S2,Medium LoS,ax/5/20,0.196851078073692,0.95929592996465,0.948453608247423,0.701533538761921,5,ok
S2,Medium LoS,ac/5/20,0.163715188556873,0.854049158820701,0.938144329896907,0.651969559091493,6,ok
S2,Medium LoS,ax/6/20,0.166816403475656,0.781646653116674,0.958762886597938,0.635741981063423,8,ok
S2,Medium LoS,n/2.4/20,0.0604938260149914,0.90868613528162,0.907216494845361,0.625465485380657,9,ok
S3,Long NLoS,ax/6/160,1,0.598529951924892,0.939393939393939,0.845974630439611,1,ok
S3,Long NLoS,ax/5/80,0.272761275686914,0.901584215049037,0.98989898989899,0.721414826878313,3,ok
S3,Long NLoS,ac/5/80,0.416325424123219,0.586758878344589,0.909090909090909,0.637391737186239,5,ok
S3,Long NLoS,ax/6/80,0.79775624717292,0.616832895711271,1,0.804863047628064,2,ok
S3,Long NLoS,ax/2.4/20,0.0577676092191788,0.386548444216214,0.878787878787879,0.441034644074424,7,ok
S3,Long NLoS,ax/5/20,0.139729312768514,1,0.98989898989899,0.709876100889168,4,ok
S3,Long NLoS,ac/5/20,0.114244777364836,NaN,0,NaN,NaN,excluded_due_to_missing_ptp_steady_mean
S3,Long NLoS,ax/6/20,0.212278477061323,0.820015252642393,0.494949494949495,0.509081074884404,6,ok
S3,Long NLoS,n/2.4/20,0.0486868498913735,0.377790962900057,0.838383838383838,0.421620550391756,8,ok
S4,Long mixed,ax/6/160,0.442091993721439,0.684181561879303,0.968421052631579,0.69823153607744,6,ok
S4,Long mixed,ax/5/80,0.66366426971107,1,0.989473684210526,0.884379317973865,2,ok
S4,Long mixed,ac/5/80,0.673998698164884,0.750610172896584,0.978947368421053,0.80118541316084,3,ok
S4,Long mixed,ax/6/80,1,0.789409240220354,0.926315789473684,0.905241676564679,1,ok
S4,Long mixed,ax/2.4/20,0.0425210834801344,0.835858280060831,0.989473684210526,0.62261768258383,8,ok
S4,Long mixed,ax/5/20,0.232354800181277,0.952226355542837,0.978947368421053,0.721176174715056,4,ok
S4,Long mixed,ac/5/20,0.224521361924816,0.95627716969937,0.978947368421053,0.719915300015079,5,ok
S4,Long mixed,ax/6/20,0.196610116125786,0.743940391041065,1,0.646850169055617,7,ok
S4,Long mixed,n/2.4/20,0.0258983337008963,0.529462416241939,0.873684210526316,0.476348320156384,9,ok
